bad_id,day,sales,revenue,Customer Name,invoice_number
0,2024-12-01,1,79583.0,Allison Green,INV-2024-01774
1,2024-12-01,1,2621.0,Amy Mcbride,INV-2024-04431
2,2024-12-01,1,77888.0,Anthony Rivera,INV-2024-03195
3,2024-12-01,1,49445.0,Ashley Buckley,INV-2024-03437
4,2024-12-01,1,91729.0,Ashley Valdez,INV-2024-04904
5,2024-12-01,1,63946.0,Barbara Smith,INV-2024-02519
6,2024-12-01,1,13016.0,Benjamin Calderon,INV-2024-01255
7,2024-12-01,1,13493.0,Carol Brown,INV-2024-04393
8,2024-12-01,1,82153.0,Carrie Nelson,INV-2024-00775
9,2024-12-01,1,45376.0,Catherine Mack,INV-2024-00156
10,2024-12-01,1,39062.0,Charles Lambert,INV-2024-02107
11,2024-12-01,1,6975.0,Chris Reyes,INV-2024-01755
12,2024-12-01,1,38278.0,Christina Petty,INV-2024-02343
13,2024-12-01,1,42702.0,Cody Johnson,INV-2024-01508
14,2024-12-01,1,12544.0,Crystal Gordon,INV-2024-04562
15,2024-12-01,1,20313.0,Crystal Welch,INV-2024-00514
16,2024-12-01,1,31967.0,Daniel Olsen,INV-2024-03878
17,2024-12-01,1,3069.0,Darrell Esparza,INV-2024-04223
18,2024-12-01,1,28091.0,David Barton,INV-2024-00037
19,2024-12-01,1,84322.0,Deborah Jenkins,INV-2024-03258
20,2024-12-01,1,79683.0,Donald Sloan,INV-2024-02449
21,2024-12-01,1,92689.0,Dr. Hailey Black,INV-2024-00168
22,2024-12-01,1,65779.0,Ebony Robinson DVM,INV-2024-00650
23,2024-12-01,1,82124.0,Elizabeth Velazquez,INV-2024-03742
24,2024-12-01,1,81082.0,Emily Odonnell,INV-2024-02834
25,2024-12-01,1,30789.0,Eric Rose,INV-2024-02320
26,2024-12-01,1,19857.0,Erica Robinson,INV-2024-03162
27,2024-12-01,1,3993.0,Erica Stephens,INV-2024-01514
28,2024-12-01,1,11391.0,Evelyn Martin,INV-2024-00979
29,2024-12-01,1,7700.0,Gary Delacruz,INV-2024-03013
30,2024-12-01,1,20836.0,Gregory Gibson,INV-2024-01484
31,2024-12-01,1,84653.0,Gregory Gomez,INV-2024-00403
32,2024-12-01,1,95626.0,Jack Carr,INV-2024-00200
33,2024-12-01,1,92570.0,James Bradley,INV-2024-01992
34,2024-12-01,1,96857.0,James Castillo,INV-2024-00907
35,2024-12-01,1,48355.0,James Osborne MD,INV-2024-04709
36,2024-12-01,1,87965.0,James Zamora,INV-2024-02118
37,2024-12-01,1,67260.0,Jason Brooks,INV-2024-02103
38,2024-12-01,1,6288.0,Jason Griffin,INV-2024-04377
39,2024-12-01,1,42853.0,Jeffrey Acosta,INV-2024-02497
40,2024-12-01,1,94896.0,Jennifer Stafford,INV-2024-01662
41,2024-12-01,1,78567.0,Jessica Garcia,INV-2024-04678
42,2024-12-01,1,10086.0,Jessica Jones,INV-2024-01273
43,2024-12-01,1,42578.0,Jill Johnson,INV-2024-04625
44,2024-12-01,1,78566.0,John Alexander,INV-2024-00230
45,2024-12-01,1,59955.0,John Herring,INV-2024-02147
46,2024-12-01,1,30164.0,Jon Mayer,INV-2024-04269
47,2024-12-01,1,38856.0,Joseph Taylor,INV-2024-04839
48,2024-12-01,1,40071.0,Katelyn Mckinney,INV-2024-04274
49,2024-12-01,1,42208.0,Kathleen Reese,INV-2024-01018
50,2024-12-01,1,14726.0,Kathleen Thomas,INV-2024-00546
